 Fold  ID_PATCH  N_Parcel  Parcel_Cover   TILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               dates-S2    id                                                                                                                                                           geometry
    1     10000       119      0.808032 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10000      MULTIPOLYGON (((391504.73555 6956805.91524, 392781.90613 6956707.26166, 392683.24883 6955430.10128, 391406.09215 6955528.74838, 391504.73555 6956805.91524)))
    2     10001       111      0.501986 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10001      MULTIPOLYGON (((367628.56220 6880296.82183, 368905.06482 6880198.70235, 368806.94269 6878922.20777, 367530.45075 6879020.32187, 367628.56220 6880296.82183)))
    4     10002       131      0.638722 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10002      MULTIPOLYGON (((388950.37507 6957003.18060, 390227.55851 6956904.55489, 390128.92903 6955627.38161, 388851.75951 6955726.00094, 388950.37507 6957003.18060)))
    5     10003        75      0.866824 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10003      MULTIPOLYGON (((455228.32576 6917189.74030, 456504.73754 6917090.61972, 456405.61549 6915814.21858, 455129.21582 6915913.33001, 455228.32576 6917189.74030)))
    4     10004        46      0.204906 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10004      MULTIPOLYGON (((364779.50899 6910052.24269, 366056.29351 6909954.04577, 365958.09327 6908677.26986, 364681.32067 6908775.46150, 364779.50899 6910052.24269)))
    3     10005        88      0.667172 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10005      MULTIPOLYGON (((364583.84519 6890803.63257, 365860.45115 6890705.50325, 365762.31891 6889428.90550, 364485.72407 6889527.02955, 364583.84519 6890803.63257)))
    3     10006        93      0.752556 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10006      MULTIPOLYGON (((367529.51320 6912409.41393, 368806.31105 6912311.18229, 368708.07609 6911034.39317, 367431.29027 6911132.61941, 367529.51320 6912409.41393)))
    1     10007        77      0.276382 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10007      MULTIPOLYGON (((393960.39900 6955331.44029, 395237.54261 6955232.76544, 395138.86413 6953955.63205, 393861.73436 6954054.30032, 393960.39900 6955331.44029)))
    4     10008        23      0.140183 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10008      MULTIPOLYGON (((364583.13762 6907498.69222, 365859.89833 6907400.50586, 365761.70871 6906123.75371, 364484.95982 6906221.93479, 364583.13762 6907498.69222)))
    3     10009        64      0.970282 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10009      MULTIPOLYGON (((452774.56957 6918664.38557, 454051.01174 6918565.28026, 453951.90485 6917288.84872, 452675.47488 6917387.94499, 452774.56957 6918664.38557)))
    5     10010        92      0.838699 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10010      MULTIPOLYGON (((374701.66527 6938831.50419, 375978.70583 6938733.10498, 375880.30291 6937456.07387, 374603.27550 6937554.46734, 374701.66527 6938831.50419)))
